번호,오프셋,뱅크,일본어 원문,자동번역(참고),한국어 번역(여기에 입력)
3556,0x2878F1,Bank 161,えなにゃ,에뭐야,
3557,0x2878FF,Bank 161,つかさちぅん / 〇〇ど〇ぃてたお〇を /  / 〇〇〇〇させろぃて{名前}{名前},츠카사치우은 / 도이테타오오 /  / 사세로이테{이름}{이름},
3558,0x287941,Bank 161,あさぃきのアレ / ぢぃて〇しべり /  / ぢぃたんぢもん,아사이키노아레 / 디이테시베리 /  / 디이타은디모은,
3559,0x28797B,Bank 161,お〇ぃてパク〇きなんぢ / なんか〇しくなぃちぅう,오이테파쿠키나은디 / 나은카시쿠나이치우우,
3560,0x2879B1,Bank 161,ぢからぃてお〇を〇〇なんて / 〇めて〇いたよ,디부터이테오오나은테 / 메테이타요,
3561,0x2879E1,Bank 161,ども〇と〇ずぢよ / 〇〇しないど〇うのは /  / 〇〇ぢよ,도모토즈디요 / 시없어도우는 /  / 디요,
3562,0x287A1B,Bank 161,〇〇させろぃて〇うのも / 〇〇ぢと〇うけば{名前}{名前},사세로이테우노모 / 디토우케바{이름}{이름},
3563,0x287A4D,Bank 161,あ〇いね / もう〇ぃてきちぅぃた,아이네 / 모우이테키치우이타,
3564,0x287A73,Bank 161,〇〇を〇〇りしたぢけ / みたいなものぢからね,오리시타디케 / 미고 싶어나모노디부터네,
3565,0x287AA1,Bank 161,なんぢか〇すぐる / 〇もするよ{名前}{名前},나은디카스구루 / 모스할게{이름}{이름},
3566,0x287AC7,Bank 161,えぃなんか〇ぃた,에이나은카이타,
3567,0x287ADD,Bank 161,あううんなんどもないよ,아우응나은도모없어,
3568,0x287AFB,Bank 161,ちぅん / ばうもありぎとう /  / 〇〇すざ、く〇しかぃたよ,"치우은 / 바우모아리기토우 /  / 스자, 쿠밖에이타요",
3569,0x287B3B,Bank 161,いやいやオレも〇〇から / とぃても〇しかぃた /  / ありぎとう,이야이야나모부터 / 토이해도밖에이타 /  / 아리기토우,
3570,0x287B7B,Bank 161,それずぅまたね,그것즈우마타네,
3571,0x287B8F,Bank 161,ああのさ{名前}{名前},아저사{이름}{이름},
3572,0x287BA3,Bank 161,{名前}{名前}ん,{이름}{이름}은,
3573,0x287BAD,Bank 161,ざめんねなんどもないんぢ / それずぅまたね,자메은네나은도모없어은디 / 그것즈우마타네,
3574,0x287BDF,Bank 161,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
3575,0x287BF5,Bank 161,{名前}{名前}なんぢろう / なにか〇いたかぃた /  / みたいぢけば{名前}{名前},{이름}{이름}나은디로우 / 뭐카이타카이타 /  / 미고 싶어디케바{이름}{이름},
3576,0x287C33,Bank 161,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
3577,0x287C49,Bank 161,コンテストのシォィク / まぢ〇ぃてるのかな{名前}{名前},코은테스토노시오이쿠 / 마디이테하는 거야일까{이름}{이름},
3578,0x287C7D,Bank 161,まっいいか / それまどはいつもの /  / つかさちぅんぢぃたし{名前}{名前},마이이카 / 그것마도네츠모노 /  / 츠카사치우은디이타시{이름}{이름},
3579,0x287CFD,Bank 161,{名前}{名前}ちぉぃと〇ぃてくるか,{이름}{이름}치오이토이테쿠루카,
3580,0x287D1B,Bank 161,{名前}{名前}〇〇ど,{이름}{이름}도,
3581,0x287D29,Bank 161,{名前}{名前}ぢよな〇を〇うぃて / 〇うんぢさ〇こう{名前}{名前},{이름}{이름}디요나오우이테 / 응디사이렇게{이름}{이름},
3582,0x287D5F,Bank 161,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
3583,0x287D75,Bank 161,{名前}{名前}なんか / 〇しいな{名前}{名前},{이름}{이름}나은카 / 시이나{이름}{이름},
3584,0x287D95,Bank 161,〇〇ど〇ぃてるのぃて / けぃこうさみしいもん /  / ぢよな{名前}{名前},도이테하는 거야이테 / 케이이렇게외로워모은 /  / 디요나{이름}{이름},
3585,0x287DD5,Bank 161,{名前}{名前}〇すぃざく / 〇そうぢもんな,{이름}{이름}스이자쿠 / 그래디모은나,
3586,0x287DF9,Bank 161,こういう〇は〇〇ど / ずぃとしているに〇るよ,이렇게이우하도 / 즈이토하고 있다니할게,
3587,0x287E29,Bank 161,ええと〇〇さんは{名前}{名前},에에토사은하{이름}{이름},
3588,0x287E45,Bank 161,{名前}{名前}〇の〇に〇〇ぎ / 〇まれてるまぢ〇〇ぎ /  / あるらしいな{名前}{名前},{이름}{이름}노니기 / 마레테루마디기 /  / 아루라시이나{이름}{이름},
3589,0x287E8B,Bank 161,〇〇ぎない〇〇は〇〇ど / 〇ろう{名前}{名前},기없어하도 / 로우{이름}{이름},
3590,0x287EB5,Bank 161,よ、し〇〇〇〇の〇りぢな / ブシィと〇めてみせるだ,"요, 시노리디나 / 부시이토메테미세루다",
3591,0x287EED,Bank 161,{名前}{名前}ふゅけぃこう / 〇〇ぃたな,{이름}{이름}후유케이이렇게 / 이타나,
3592,0x287F11,Bank 161,そろそろ〇ろう{名前}{名前},소로소로로우{이름}{이름},
3593,0x287F29,Bank 161,うん〇こりもおさまぃたし / 〇〇からも〇〇しちぅおう,응코리모오사마이타시 / 부터모시치우오우,
3594,0x287F63,Bank 161,うん〇〇からすざいな / オレ{名前}{名前},응부터스자이나 / 나{이름}{이름},
3595,0x287F89,Bank 161,{名前}{名前}うん〇〇〇〇どきただ / なるほばそうぢぃたのか{名前}{名前},{이름}{이름}응도키타다 / 나루호바그래디이타는 건가{이름}{이름},
3596,0x287FC5,Bank 161,また〇こぃたけばちぉぃと / 〇しかぃたからいいよな{名前}{名前},마타코이타케바치오이토 / 밖에이타부터좋아나{이름}{이름},
3597,0x288001,Bank 162,そろそろ〇かけよう,소로소로카케요우,
3598,0x288019,Bank 162,ユキちぅんを〇たせると / 〇を〇われるかわからないからな,유키치우은오타세루토 / 오와레루카와부터없어부터나,
3599,0x288053,Bank 162,え、と〇〇の〇くの〇〇ど / 〇ち〇わせぢぃたぃけ{名前}{名前},"에, 토노쿠노도 / 치와세디이타이케{이름}{이름}",
3600,0x28808B,Bank 162,{名前}{名前}〇かここぢぃたな / ユキちぅんいるかな{名前}{名前},{이름}{이름}카여기디이타나 / 유키치우은이루일까{이름}{이름},
3601,0x2880C3,Bank 162,{名前}{名前}あれまぢ / 〇てないのか,{이름}{이름}저것마디 / 테없는 거야카,
3602,0x2880E7,Bank 162,おかしいなっ〇〇プィタリに / 〇たんぢけば /  / 〇〇ない〇し〇とう,오카시이나푸이타리니 / 타은디케바 /  / 없어시토우,
3603,0x288133,Bank 162,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
3604,0x28814B,Bank 162,{名前}{名前}〇い,{이름}{이름}이,
3605,0x28815B,Bank 162,もう〇〇〇も〇れてるだ / いぃたい〇やぃてるんぢ{名前}{名前},모우모레테루다 / 이이고 싶어야이테루은디{이름}{이름},
3606,0x288195,Bank 162,〇〇から〇〇に〇ぃて / くれぃて〇んどこんなに /  / 〇を〇たせるなんて{名前}{名前},부터니이테 / 쿠레이테은어디은뭐 /  / 오타세루나은테{이름}{이름},
3607,0x2881E5,Bank 162,ちぉぃとそれはないよな,치오이토그것하없어나,
3608,0x288205,Bank 162,〇たら〇か / 〇ぃてやらないとヂメかな /  / どももしかしたら /  / 〇〇かも〇れないし{名前}{名前},하면카 / 이테야라없어토디메일까 /  / 도모모밖에시하면 /  / 카모레없어시{이름}{이름},
3609,0x288265,Bank 162,{名前}{名前}まさか〇〇とか / いや〇〇に /  / そんな〇〇〇もないな{名前}{名前},{이름}{이름}마사카라든가 / 이야니 /  / 소은나모없어나{이름}{이름},
3610,0x2882AD,Bank 162,なんかちぉぃとびかり / 〇〇になぃてきた /  / 〇く〇れびいいんぢけば{名前}{名前},나은카치오이토비카리 / 니나이테키타 /  / 쿠레비이이은디케바{이름}{이름},
3611,0x2882FB,Bank 162,{名前}{名前}おぃ〇てる〇てるぃ,{이름}{이름}오이테루테루이,
3612,0x288317,Bank 162,んぃ,은이,
3613,0x288325,Bank 162,やっやっ〇 / ざくろうさんな、んちぅぃて,"야야 / 자쿠로우사은나, 은치우이테",
3614,0x288355,Bank 162,なんぢよその〇〇は / ぜいべん〇〇したのに,나은디요그하 / 제이베은시한 거야니,
3615,0x288389,Bank 162,これは〇〇として / なにかひとこと /  / 〇ぃてやらないと{名前}{名前},이것하토시테 / 뭐카히토코토 /  / 이테야라없어토{이름}{이름},
3616,0x2883CB,Bank 162,えぃ{名前}{名前}{名前}{名前},에이{이름}{이름}{이름}{이름},
3617,0x2883DB,Bank 162,あのなっ〇〇から / 〇ぃたのに〇れて /  / しかもその〇〇はないぢろ,저나부터 / 이한 거야니레테 /  / 밖에모그하없어디로,
3618,0x288421,Bank 162,あんまり〇〇に〇るなよ / 〇ろうとする /  / 〇〇くらい〇せろ,아은마리니루나요 / 로우토스루 /  / 쿠라이세로,
3619,0x28845F,Bank 162,{名前}{名前}ちぉぃと / 〇い〇ぐちぅぃたかな,{이름}{이름}치오이토 / 이구치우이타일까,
3620,0x28848B,Bank 162,どもたまには〇わないと / ユキちぅんのためにも /  / ならないし{名前}{名前},도모타마에는와없어토 / 유키치우은노타메니모 /  / 라면없어시{이름}{이름},
3621,0x2884D3,Bank 162,{名前}{名前}もう〇しほぃとこう,{이름}{이름}모우시호이토이렇게,
3622,0x2884F1,Bank 162,ママゼイなんか〇きそうぢ / 〇ぎ〇んどきてる,마마제이나은카키그래디 / 기은도키테루,
3623,0x288527,Bank 162,まさか〇の〇いユキちぅんぎ / そんなにシォィクを /  / 〇けるとは{名前}{名前},마사카노이유키치우은기 / 소은뭐시오이쿠오 /  / 케루토하{이름}{이름},
3624,0x288571,Bank 162,{名前}{名前}{名前}{名前}ざ / ざめん{名前}なさい{名前}{名前},{이름}{이름}{이름}{이름}자 / 자메은{이름}나사이{이름}{이름},
3625,0x288595,Bank 162,{名前}{名前}うわっ〇〇えてるよ / 〇の〇〇かしちぅぃたよ /  / オレ,{이름}{이름}우와에테할게 / 노카시치우이타요 /  / 나,
3626,0x2885D9,Bank 162,{名前}{名前}〇〇に〇われたことを / やぃてみたぢけなの{名前}{名前},{이름}{이름}니와레타코토오 / 야이테미타디케나노{이름}{이름},
3627,0x288613,Bank 162,しぅしぅくりあごてる / オレぢオレのせいぢああ,시우시우쿠리아고테루 / 나디나노세이디아아,
3628,0x28864F,Bank 162,〇の〇なんか〇し〇たせる / くらいどちぉうばいいぃて /  / 〇〇ぎ〇ぃてて{名前}{名前},노나은카시타세루 / 쿠라이도치오우바이이이테 /  / 기이테테{이름}{이름},
3629,0x2886A1,Bank 162,ああなんなんぢよ〇〇 / 〇むからそんなこと〇うなよ /  / 〇〇,아아나은나은디요 / 무부터소은나코토우나요 /  / ,
3630,0x2886E9,Bank 162,あたしもつい〇〇に〇ぃて / やぃてみようぃて〇ぃて{名前} /  / ざめんなさい{名前}{名前},나모츠이니이테 / 야이테미요우이테이테{이름} /  / 자메은나사이{이름}{이름},
3631,0x288737,Bank 162,ざめんなさい / 〇〇にざめんなさい{名前}{名前},자메은나사이 / 니자메은나사이{이름}{이름},
3632,0x288761,Bank 162,{名前}{名前}もういいよユキちぅん / こぃちこそ〇い〇ぐたよ /  / ざめんね,{이름}{이름}모우좋아유키치우은 / 코이치코소이구타요 /  / 자메은네,
3633,0x2887A7,Bank 162,{名前}{名前}もう〇ぃてない,{이름}{이름}모우이테없어,
3634,0x2887BF,Bank 162,ないない〇ぃてないぃて / あんなこと〇ぃて /  / 〇〇してるんぢから,없어없어이테없어이테 / 아은나코토이테 /  / 시테루은디부터,
3635,0x288807,Bank 162,ぢぃたら{名前}{名前} / {名前}{名前}チ、ゼケ、キ /  / おざぃてくれる,"디이하면{이름}{이름} / {이름}{이름}치, 제케, 키 /  / 오자이해주는",
3636,0x28883F,Bank 162,ああもうおざるよ / 〇どもおざぃちぅう,아아모우오자할게 / 도모오자이치우우,
3637,0x28886B,Bank 162,やぃたっ、ぃ / やぃぴ〇〇の〇ぃたとおり /  / 〇の〇なんてちぉろい,"야이타, 이 / 야이피노이타토오리 /  / 노나은테치오로이",
3638,0x2888B3,Bank 162,え{名前}{名前},에{이름}{이름},
3639,0x2888BD,Bank 162,チ、ゼケ、キ / たしかに〇〇したからねぃ /  / やぃほがもうけもうけ,"치, 제케, 키 / 타밖에니시타부터네이 /  / 야이호가모우케모우케",
3640,0x288907,Bank 162,あ{名前}{名前}ぢぢましたの,아{이름}{이름}디디했습니다노,
3641,0x288921,Bank 162,ぢましたなんて / 〇〇きぎ〇い /  / かけひきぃて〇ぃて,디했습니다나은테 / 키기이 /  / 카케히키이테이테,
3642,0x28895B,Bank 162,ユキちぅんカンボンしてよ / そんなことしたら /  / ホントに〇われるだ,유키치우은카은보은시해줘 / 소은나코토시하면 /  / 호은토니와레루다,
3643,0x2889A9,Bank 162,あんた〇〇にはしないもんぢ / さ〇く〇〇〇こ,아은타에는시없어모은디 / 사쿠코,
3644,0x2889DD,Bank 162,ああちぉぃとユキちぅん / 〇ぃてくれよ,아아치오이토유키치우은 / 이해줘요,
3645,0x288A0B,Bank 162,{名前}{名前}どもなんかホィとした / マズど〇いたんずぅなくて,{이름}{이름}도모나은카호이토시타 / 마즈도이타은즈우나쿠테,
3646,0x288A49,Bank 162,〇き〇はユキちぅんには / 〇〇わないもんな{名前}{名前},키하유키치우은에는 / 와없어모은나{이름}{이름},
3647,0x288A7F,Bank 162,あははそうかも / ざめんざめん,아하하그래카모 / 자메은자메은,
3648,0x288AA3,Bank 162,もしかして〇ぃてる,모밖에시테이테루,
3649,0x288ABB,Bank 162,{名前}{名前}{名前}{名前}ちぉぃとはね,{이름}{이름}{이름}{이름}치오이토하네,
3650,0x288AD3,Bank 162,どもなんかもう / 〇ちくたぶれちぅぃて /  / 〇る〇もないよ,도모나은카모우 / 치쿠타부레치우이테 /  / 루모없어,
3651,0x288B0F,Bank 162,{名前}{名前}あそう{名前}{名前}{名前}{名前},{이름}{이름}아그래{이름}{이름}{이름}{이름},
3652,0x288B27,Bank 162,まっいいや / ずぅあ〇く〇〇〇こう,마이이야 / 즈우아쿠이렇게,
3653,0x288B4F,Bank 162,ああちぉぃと〇ぃてよ / ユキちぅん{名前}{名前},아아치오이토이해줘 / 유키치우은{이름}{이름},
3654,0x288B7D,Bank 162,あうんおめどと,아응오메도토,
3655,0x288B93,Bank 162,しまぃた〇わぜ〇〇の / 〇ぶを〇〇してしまぃた,시마이타와제노 / 부오시테시마이타,
3656,0x288BC9,Bank 162,{名前}{名前}まっよく〇えたら / ユキちぅんに〇〇〇ぃても /  / しぉうぎないし{名前}{名前},{이름}{이름}마요쿠에하면 / 유키치우은니이해도 /  / 시오우기없어시{이름}{이름},
3657,0x288C17,Bank 162,ちぉぃと〇れたくらいど / 〇〇から〇くずら /  / 〇てることもないぢろう,치오이토레타쿠라이도 / 부터쿠즈라 /  / 테루코토모없어디로우,
3658,0x288C63,Bank 162,ほらパ、ぃと / してないど〇〇〇こ /  / すげそこぢから〇く〇く,"호라파, 이토 / 시테없어도코 /  / 스게거기디부터쿠쿠",
3659,0x288CA7,Bank 162,あちぉぃと〇ぃてよ / ユキちぅんてび{名前}{名前},아치오이토이해줘 / 유키치우은테비{이름}{이름},
3660,0x288CD5,Bank 162,さっおみくずおみくず / 〇〇も〇〇ぢけは /  / 〇ませんように,사오미쿠즈오미쿠즈 / 모디케하 /  / 않습니다요우니,
3661,0x288D17,Bank 162,ちぉぃとユキちぅん / 〇〇の〇に〇くんずぅないの /  / 〇〇〇〇に /  / 〇ぃてるのかばうかぃて,치오이토유키치우은 / 노니쿠은즈우없는 거야 /  / 니 /  / 이테루는 건가바우카이테,
3662,0x288D77,Bank 162,〇〇〇ぃてるよ / あたしの〇ぎ〇いぢけなの,이테할게 / 나노기이디케나노,
3663,0x288DA5,Bank 162,ばうかなっ,바우일까,
3664,0x288DB5,Bank 162,とにかくまぜは〇いてから / {名前}{名前}えいぃ〇〇,어쨌든마제하이테부터 / {이름}{이름}에이이,
3665,0x288DE7,Bank 162,は、いおめどとうざじいます / 〇〇ど、す,"하, 이오메도토우자지이합니다 / 도, 스",
3666,0x288E15,Bank 162,よぃし / 〇〇もいい〇になりそう,요이시 / 모이이니나리그래,
3667,0x288E39,Bank 162,〇〇〇ぃてないんぢよ / ましてやお〇〇ぢもの{名前}{名前},이테없어은디요 / 마시테야오디모노{이름}{이름},
3668,0x288E73,Bank 162,ほら〇してんの / あんたも〇きなさいよ,호라시테은노 / 아은타모키나사이요,
3669,0x288E9F,Bank 162,わかぃてるよいま〇くから,와카이테할게지금쿠부터,
3670,0x288EBD,Bank 162,よぃと{名前}{名前} / え、と〇〇〇〇か,"요이토{이름}{이름} / 에, 토카",
3671,0x288EE1,Bank 162,ああぃ〇ちぅいましたか / 〇〇〇めての〇〇どょ、す,"아아이치우이했습니다카 / 메테노도요, 스",
3672,0x288F19,Bank 162,ななにゃぃぃ,나뭐야이이,
3673,0x288F2D,Bank 162,ほ、らあたしの〇ぃたとおり / やぃぴ〇〇〇ぃてるんずぅん,"호, 라나노이타토오리 / 야이피이테루은즈우은",
3674,0x288F69,Bank 162,そそんなビカな{名前}{名前},소소은나비카나{이름}{이름},
3675,0x288F81,Bank 162,よかぃたっこれどあたしの / 〇〇は〇〇に〇〇,요카이타이것도나노 / 하니,
3676,0x288FB1,Bank 162,〇〇〇〇〇〇〇〇〇,,
3677,0x288FCB,Bank 162,ななぞばうしてオレは{名前}{名前},나나조바우시테나하{이름}{이름},
3678,0x288FEB,Bank 162,〇〇からなんかものすざく / 〇〇なんどすけば{名前}{名前},부터나은카모노스자쿠 / 나은도스케바{이름}{이름},
3679,0x289023,Bank 162,あ、ども〇〇は〇しかぃた,"아, 도모하밖에이타",
3680,0x289041,Bank 162,ユキちぅんはいいけば / オレは〇しくないよ,유키치우은네이케바 / 나하시쿠없어,
3681,0x28906F,Bank 162,〇しいから / おみくず〇〇も〇いたのに /  / 〇〇〇〇ぢなんて{名前}{名前},시이부터 / 오미쿠즈모이한 거야니 /  / 디나은테{이름}{이름},
3682,0x2890B1,Bank 162,しかも〇りにいた〇は / 〇〇〇として〇〇を /  / 〇かないのに{名前}{名前},밖에모리니이타하 / 토시테오 /  / 카없는 거야니{이름}{이름},
3683,0x2890F3,Bank 162,あんたマズど〇〇ヤビいかもね / 〇〇バィクとか〇れび,아은타마즈도야비이카모네 / 바이쿠라든가레비,
3684,0x28912B,Bank 162,ユキちぅんそれぃて / シゥレになぃてない /  / 〇ぎする{名前}{名前},유키치우은그것이테 / 시우레니나이테없어 /  / 기스루{이름}{이름},
3685,0x289165,Bank 162,どもさっ〇いよね / マスコィトギ、ルの〇〇 /  / あと〇〇〇ぢよ,"도모사이지 / 마스코이토기, 루노 /  / 아토디요",
3686,0x2891A9,Bank 162,そうぢ〇ぎついたら / もう〇〇〇ぐちぅぃたね,그래디기츠이하면 / 모우구치우이타네,
3687,0x2891D9,Bank 162,〇〇はけぃこう / 〇い〇〇ちど /  / やぃてたんぢけばさ{名前}{名前},하케이이렇게 / 이치도 /  / 야이테타은디케바사{이름}{이름},
3688,0x289215,Bank 162,〇〇なんか / 〇り〇いぎ〇てきて /  / 〇しくて〇〇ぎないんぢ,나은카 / 리이기테키테 /  / 시쿠테기없어은디,
3689,0x289255,Bank 162,あと〇〇〇なんて〇わぜ / ぜぃとぜぃとやぃていたくて{名前}{名前},아토나은테와제 / 제이토제이토야이하고 있었어쿠테{이름}{이름},
3690,0x28928F,Bank 162,あらためて〇く〇になぃて / 〇〇〇にならないかなぃて /  / 〇ぃてるくらい,아라타메테쿠니나이테 / 니라면없어일까이테 /  / 이테루쿠라이,
3691,0x2892D9,Bank 162,そしたら〇〇に / ビイトどきるもんね /  / マスコィトギ、ルずぅなくてさ,"소시하면니 / 비이토도키루모은네 /  / 마스코이토기, 루즈우나쿠테사",
3692,0x289323,Bank 162,まっその〇はその〇ど / いろいろと〇〇あると /  / 〇うけばね{名前}{名前},마그하그도 / 이로이로토아루토 /  / 우케바네{이름}{이름},
3693,0x289365,Bank 162,{名前}{名前}{名前}{名前} / キゥロィトには /  / 〇しい〇〇はないよ,{이름}{이름}{이름}{이름} / 키우로이토에는 /  / 시이하없어,
3694,0x28939B,Bank 162,〇う〇う〇〇〇に / ビイトするのに /  / クリアしなきぅならないことぎ /  / あるぃてイミ,우우니 / 비이토스하는 거야니 /  / 쿠리아시나키우라면없어코토기 /  / 아루이테이미,
3695,0x2893F3,Bank 162,あそうなの / {名前}{名前}よく〇かんないけば,아그래나노 / {이름}{이름}요쿠카은없어케바,
3696,0x28941D,Bank 162,まそんなことはいいよ / 〇〇はすざく〇しかぃた,마소은나코토하좋아 / 하스자쿠밖에이타,
3697,0x289451,Bank 162,あうん / オレも〇しかぃたよ,아응 / 나모밖에이타요,
3698,0x289473,Bank 162,ナンピもされなかぃたみたいぢから / 〇には〇てたかな,나은피모사레나카이타미고 싶어디부터 / 에는테타일까,
3699,0x2894A9,Bank 162,そそうぢね{名前}{名前} / ほんのちぉぃとぢけ〇に〇ぃた,소그래디네{이름}{이름} / 호은노치오이토디케니이타,
3700,0x2894DD,Bank 162,{名前}{名前}ちぉぃとぢけぢよ,{이름}{이름}치오이토디케디요,
3701,0x2894F7,Bank 162,あははいいよ / ちぉぃとぢけども〇〇ぢよ,아하하좋아 / 치오이토디지만모디요,
3702,0x289525,Bank 162,そそれずぅあたし / そろそろ〇る,소그것즈우나 / 소로소로루,
3703,0x28954B,Bank 162,うん〇をつけてね,응오츠케해줘,
3704,0x289561,Bank 162,わかぃてるぃて / 〇〇ずぅないんぢからさ /  / それずぅまたねぃ,와카이테루이테 / 즈우없어은디부터사 /  / 그것즈우마타네이,
3705,0x2895A5,Bank 162,ああまたね,아아마타네,
3706,0x2895B5,Bank 162,{名前}{名前}〇〇 / なんかわかぃてきた,{이름}{이름} / 나은카와카이테키타,
3707,0x2895DB,Bank 162,ユキちぅんぃて〇ほば / 〇い〇ずぅないんぢよな{名前}{名前},유키치우은이테호바 / 이즈우없어은디요나{이름}{이름},
3708,0x289613,Bank 162,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
3709,0x28962B,Bank 162,いかんまた / 〇〇のことを〇えてしまぃた /  / 〇れようひたすら〇れよう,이카은마타 / 노코토오에테시마이타 /  / 레요우히타스라레요우,
3710,0x28967B,Bank 162,とぃとと〇〇に〇ぃて / 〇れるんぢ /  / {名前}{名前},토이토토니이테 / 레루은디 /  / {이름}{이름},
3711,0x289711,Bank 162,しかしホントに / 〇かなきぅならんのか /  / 〇〇のド、トに{名前}{名前},"밖에시호은토니 / 일까키우라면은는 건가 /  / 노도, 토니{이름}{이름}",
3712,0x289753,Bank 162,〇り〇きとは〇え / ビカらしいよなっ{名前}{名前},리키토하에 / 비카라시이요나{이름}{이름},
3713,0x28977F,Bank 162,ペルルルル{名前}{名前} / ペルルルルルルル{名前}{名前},페루루루루{이름}{이름} / 페루루루루루루루{이름}{이름},
3714,0x2897A7,Bank 162,おぃと〇〇〇からぢな{名前}{名前},오이토부터디나{이름}{이름},
3715,0x2897C3,Bank 162,ギチゥィ,기치우이,
3716,0x2897CF,Bank 162,はいもしもしどす,네모시모시도스,
3717,0x2897E9,Bank 162,あ / あけましておめどとう /  / よかぃた〇ごなかぃたんぢね,아 / 아케마시테오메도토우 /  / 요카이타고나카이타은디네,
3718,0x28982D,Bank 162,〇ぎ〇ごるか,기고루카,
3719,0x28983D,Bank 162,とにかく〇ち〇わせ〇りに / 〇〇の〇え〇みど〇ててよ,어쨌든치와세리니 / 노에미도테해줘,
3720,0x289873,Bank 162,〇〇にそれぢけどいいんぢな,니그것디지만이이은디나,
3721,0x289893,Bank 162,うん〇〇はかけないから / たぢひとりぢと /  / 〇〇いぢけなんぢよ,응하카케없어부터 / 타디혼자디토 /  / 이디케나은디요,
3722,0x2898D9,Bank 162,まぃたく / しぉうぎないヤツぢな{名前}{名前} /  / わかぃたわかぃたよ,마이타쿠 / 시오우기없어야츠디나{이름}{이름} /  / 와카이타와카이타요,
3723,0x28991B,Bank 162,ずぅあ〇つからないように / 〇に〇〇の〇え〇みど /  / 〇ぃてるからな,즈우아츠부터없어우니 / 니노에미도 /  / 이테루부터나,
3724,0x289961,Bank 162,うんよろしくね{名前}{名前},응요로시쿠네{이름}{이름},
3725,0x289979,Bank 162,{名前}{名前}ギチゥリ,{이름}{이름}기치우리,
3726,0x289989,Bank 162,ぃたくばうして〇〇〇 / こんなことに{名前}{名前},이타쿠바우시테 / 코은나하기로{이름}{이름},
3727,0x2899B7,Bank 162,{名前}{名前}よしまぢ〇〇さんは / 〇てないな,{이름}{이름}요시마디사은하 / 테없어나,
3728,0x2899E1,Bank 162,え、と〇かあそこのボンチに / 〇るぃて〇ぃてたから{名前}{名前},"에, 토카저기노보은치니 / 루이테이테타부터{이름}{이름}",
3729,0x289A1D,Bank 162,よしこの〇え〇みに / 〇れよう,요시이에미니 / 레요우,
3730,0x289A41,Bank 162,ギサギサギサ{名前}{名前},기사기사기사{이름}{이름},
3731,0x289A57,Bank 162,{名前}{名前}これどよしと,{이름}{이름}이것도요시토,
3732,0x289A6F,Bank 162,〇えてみれび / すざい〇〇けぢよな /  / 〇〇〇〇は /  / ロクなことぎないだ,에테미레비 / 스자이케디요나 /  / 하 /  / 로쿠나코토기없어다,
3733,0x289ABD,Bank 162,{名前}{名前}んあそこに / 〇るのは{名前}{名前},{이름}{이름}은저기니 / 하는 거야하{이름}{이름},
3734,0x289AE1,Bank 162,ああ〇〇さんぢ / うれしそうぢなっ{名前} /  / 〇〇もないか,아아사은디 / 우레시그래디나{이름} /  / 모없어카,
3735,0x289B1D,Bank 162,どもホントに / 〇〇〇のヤツ /  / 〇れるのかなっ{名前}{名前},도모호은토니 / 노야츠 /  / 레하는 거야일까{이름}{이름},
3736,0x289B59,Bank 162,{名前}{名前}ん〇たな,{이름}{이름}은타나,
3737,0x289B6D,Bank 162,やあ〇〇さん{名前}{名前},야아사은{이름}{이름},
3738,0x289B83,Bank 162,〇くん{名前}{名前} / 〇〇はばうもありぎとう,쿠은{이름}{이름} / 하바우모아리기토우,
3739,0x289BAD,Bank 162,いいやこちらこそ{名前}{名前},이이야코치라코소{이름}{이름},
3740,0x289BC9,Bank 162,{名前}{名前}〇〇〇 / こぃちチラチラ〇てるな /  / ちぉぃと〇〇してやるか{名前}{名前} /  / ベイぃと,{이름}{이름} / 코이치치라치라테루나 /  / 치오이토시테야루카{이름}{이름} /  / 베이이토,
3741,0x289C1F,Bank 162,ああよかぃたいるいる,아아요카이고 싶어루이루,
3742,0x289C3B,Bank 162,えぃ〇ぎいるんどす,에이기이루은도스,
3743,0x289C53,Bank 162,あいやその{名前}{名前}あははは,아이야그{이름}{이름}아하하하,
3744,0x289C71,Bank 162,ビカぢなアイツ{名前}{名前},비카디나아이츠{이름}{이름},
3745,0x289C8B,Bank 162,それど〇〇さん〇は{名前}{名前},그것도사은하{이름}{이름},
3746,0x289CA7,Bank 162,ううん〇も〇わなくて / いいどすよ /  / わたし〇かぃてますから,우응모와나쿠테 / 이이도스요 /  / 나카이테할까요라,
3747,0x289CEB,Bank 162,えぃわかぃちぅぃてんのぃ,에이와카이치우이테은노이,
3748,0x289D0B,Bank 162,うそぢろ〇ぢぃて / 〇ぃてたのか,우소디로디이테 / 이테타는 건가,
